icd10,icd10_3,title,chapter_number,chapter_title,block_title
"A045","A04","Campylobacter enteritis",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A046","A04","Enteritis due to Yersinia enterocolitica",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A047","A04","Enterocolitis due to Clostridium difficile",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A048","A04","Other specified bacterial intestinal infections",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A049","A04","Bacterial intestinal infection, unspecified",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A05","A05","Other bacterial foodborne intoxications, not elsewhere classified",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A050","A05","Foodborne staphylococcal intoxication",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A051","A05","Botulism",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A052","A05","Foodborne Clostridium perfringens [Clostridium welchii] intoxication",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A053","A05","Foodborne Vibrio parahaemolyticus intoxication",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A054","A05","Foodborne Bacillus cereus intoxication",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A058","A05","Other specified bacterial foodborne intoxications",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A059","A05","Bacterial foodborne intoxication, unspecified",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A06","A06","Amoebiasis",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A060","A06","Acute amoebic dysentery",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A061","A06","Chronic intestinal amoebiasis",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A062","A06","Amoebic nondysenteric colitis",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A063","A06","Amoeboma of intestine",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A064","A06","Amoebic liver abscess",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A065","A06","Amoebic lung abscess",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A066","A06","Amoebic brain abscess",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A067","A06","Cutaneous amoebiasis",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A068","A06","Amoebic infection of other sites",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A069","A06","Amoebiasis, unspecified",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A07","A07","Other protozoal intestinal diseases",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A070","A07","Balantidiasis",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A071","A07","Giardiasis [lambliasis]",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A072","A07","Cryptosporidiosis",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A073","A07","Isosporiasis",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A078","A07","Other specified protozoal intestinal diseases",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A079","A07","Protozoal intestinal disease, unspecified",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A08","A08","Viral and other specified intestinal infections",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A080","A08","Rotaviral enteritis",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A081","A08","Acute gastroenteropathy due to Norwalk agent",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A082","A08","Adenoviral enteritis",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A083","A08","Other viral enteritis",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A084","A08","Viral intestinal infection, unspecified",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A085","A08","Other specified intestinal infections",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A09","A09","Other gastroenteritis and colitis of infectious and unspecified origin",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A090","A09","Other and unspecified gastroenteritis and colitis of infectious origin",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A099","A09","Gastroenteritis and colitis of unspecified origin",1,"Certain infectious and parasitic diseases","Intestinal infectious diseases"
"A15","A15","Respiratory tuberculosis, bacteriologically and histologically confirmed",1,"Certain infectious and parasitic diseases","Tuberculosis"
"A150","A15","Tuberculosis of lung, confirmed by sputum microscopy with or without culture",1,"Certain infectious and parasitic diseases","Tuberculosis"
"A151","A15","Tuberculosis of lung, confirmed by culture only",1,"Certain infectious and parasitic diseases","Tuberculosis"
"A152","A15","Tuberculosis of lung, confirmed histologically",1,"Certain infectious and parasitic diseases","Tuberculosis"
"A153","A15","Tuberculosis of lung, confirmed by unspecified means",1,"Certain infectious and parasitic diseases","Tuberculosis"
"A154","A15","Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",1,"Certain infectious and parasitic diseases","Tuberculosis"
"A155","A15","Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",1,"Certain infectious and parasitic diseases","Tuberculosis"
"A156","A15","Tuberculous pleurisy, confirmed bacteriologically and histologically",1,"Certain infectious and parasitic diseases","Tuberculosis"
"A157","A15","Primary respiratory tuberculosis, confirmed bacteriologically and histologically",1,"Certain infectious and parasitic diseases","Tuberculosis"
"A158","A15","Other respiratory tuberculosis, confirmed bacteriologically and histologically",1,"Certain infectious and parasitic diseases","Tuberculosis"
"A159","A15","Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",1,"Certain infectious and parasitic diseases","Tuberculosis"
"A16","A16","Respiratory tuberculosis, not confirmed bacteriologically or histologically",1,"Certain infectious and parasitic diseases","Tuberculosis"
"A160","A16","Tuberculosis of lung, bacteriologically and histologically negative",1,"Certain infectious and parasitic diseases","Tuberculosis"
"A161","A16","Tuberculosis of lung, bacteriological and histological examination not done",1,"Certain infectious and parasitic diseases","Tuberculosis"
"A162","A16","Tuberculosis of lung, without mention of bacteriological or histological confirmation",1,"Certain infectious and parasitic diseases","Tuberculosis"
"A163","A16","Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",1,"Certain infectious and parasitic diseases","Tuberculosis"
"A164","A16","Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",1,"Certain infectious and parasitic diseases","Tuberculosis"
"A165","A16","Tuberculous pleurisy, without mention of bacteriological or histological confirmation",1,"Certain infectious and parasitic diseases","Tuberculosis"
"A167","A16","Primary respiratory tuberculosis without mention of bacteriological or histological confirmation",1,"Certain infectious and parasitic diseases","Tuberculosis"
"A168","A16","Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",1,"Certain infectious and parasitic diseases","Tuberculosis"
"A169","A16","Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",1,"Certain infectious and parasitic diseases","Tuberculosis"
"A17","A17","Tuberculosis of nervous system",1,"Certain infectious and parasitic diseases","Tuberculosis"
"A170","A17","Tuberculous meningitis",1,"Certain infectious and parasitic diseases","Tuberculosis"
"A171","A17","Meningeal tuberculoma",1,"Certain infectious and parasitic diseases","Tuberculosis"
"A178","A17","Other tuberculosis of nervous system",1,"Certain infectious and parasitic diseases","Tuberculosis"
"A179","A17","Tuberculosis of nervous system, unspecified",1,"Certain infectious and parasitic diseases","Tuberculosis"
"A18","A18","Tuberculosis of other organs",1,"Certain infectious and parasitic diseases","Tuberculosis"
"A180","A18","Tuberculosis of bones and joints",1,"Certain infectious and parasitic diseases","Tuberculosis"
"A181","A18","Tuberculosis of genitourinary system",1,"Certain infectious and parasitic diseases","Tuberculosis"
"A182","A18","Tuberculous peripheral lymphadenopathy",1,"Certain infectious and parasitic diseases","Tuberculosis"
"A183","A18","Tuberculosis of intestines, peritoneum and mesenteric glands",1,"Certain infectious and parasitic diseases","Tuberculosis"
"A184","A18","Tuberculosis of skin and subcutaneous tissue",1,"Certain infectious and parasitic diseases","Tuberculosis"
"A185","A18","Tuberculosis of eye",1,"Certain infectious and parasitic diseases","Tuberculosis"
"A186","A18","Tuberculosis of ear",1,"Certain infectious and parasitic diseases","Tuberculosis"
"A187","A18","Tuberculosis of adrenal glands",1,"Certain infectious and parasitic diseases","Tuberculosis"
"A188","A18","Tuberculosis of other specified organs",1,"Certain infectious and parasitic diseases","Tuberculosis"
"A19","A19","Miliary tuberculosis",1,"Certain infectious and parasitic diseases","Tuberculosis"
"A190","A19","Acute miliary tuberculosis of a single specified site",1,"Certain infectious and parasitic diseases","Tuberculosis"
"A191","A19","Acute miliary tuberculosis of multiple sites",1,"Certain infectious and parasitic diseases","Tuberculosis"
"A192","A19","Acute miliary tuberculosis, unspecified",1,"Certain infectious and parasitic diseases","Tuberculosis"
"A198","A19","Other miliary tuberculosis",1,"Certain infectious and parasitic diseases","Tuberculosis"
"A199","A19","Miliary tuberculosis, unspecified",1,"Certain infectious and parasitic diseases","Tuberculosis"
"A20","A20","Plague",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A200","A20","Bubonic plague",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A201","A20","Cellulocutaneous plague",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A202","A20","Pneumonic plague",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A203","A20","Plague meningitis",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A207","A20","Septicaemic plague",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A208","A20","Other forms of plague",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A209","A20","Plague, unspecified",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A21","A21","Tularaemia",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A210","A21","Ulceroglandular tularaemia",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A211","A21","Oculoglandular tularaemia",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A212","A21","Pulmonary tularaemia",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A213","A21","Gastrointestinal tularaemia",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A217","A21","Generalized tularaemia",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A218","A21","Other forms of tularaemia",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A219","A21","Tularaemia, unspecified",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A22","A22","Anthrax",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A220","A22","Cutaneous anthrax",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A221","A22","Pulmonary anthrax",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A222","A22","Gastrointestinal anthrax",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A227","A22","Anthrax sepsis",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A228","A22","Other forms of anthrax",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A229","A22","Anthrax, unspecified",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A23","A23","Brucellosis",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A230","A23","Brucellosis due to Brucella melitensis",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A231","A23","Brucellosis due to Brucella abortus",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A232","A23","Brucellosis due to Brucella suis",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A233","A23","Brucellosis due to Brucella canis",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A238","A23","Other brucellosis",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A239","A23","Brucellosis, unspecified",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A24","A24","Glanders and melioidosis",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A240","A24","Glanders",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A241","A24","Acute and fulminating melioidosis",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A242","A24","Subacute and chronic melioidosis",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A243","A24","Other melioidosis",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A244","A24","Melioidosis, unspecified",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A25","A25","Rat-bite fevers",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A250","A25","Spirillosis",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A251","A25","Streptobacillosis",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A259","A25","Rat-bite fever, unspecified",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A26","A26","Erysipeloid",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A260","A26","Cutaneous erysipeloid",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A267","A26","Erysipelothrix sepsis",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A268","A26","Other forms of erysipeloid",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A269","A26","Erysipeloid, unspecified",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A27","A27","Leptospirosis",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A270","A27","Leptospirosis icterohaemorrhagica",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A278","A27","Other forms of leptospirosis",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A279","A27","Leptospirosis, unspecified",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A28","A28","Other zoonotic bacterial diseases, not elsewhere classified",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A280","A28","Pasteurellosis",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A281","A28","Cat-scratch disease",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A282","A28","Extraintestinal yersiniosis",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A288","A28","Other specified zoonotic bacterial diseases, not elsewhere classified",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A289","A28","Zoonotic bacterial disease, unspecified",1,"Certain infectious and parasitic diseases","Certain zoonotic bacterial diseases"
"A30","A30","Leprosy [Hansen disease]",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A300","A30","Indeterminate leprosy",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A301","A30","Tuberculoid leprosy",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A302","A30","Borderline tuberculoid leprosy",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A303","A30","Borderline leprosy",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A304","A30","Borderline lepromatous leprosy",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A305","A30","Lepromatous leprosy",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A308","A30","Other forms of leprosy",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A309","A30","Leprosy, unspecified",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A31","A31","Infection due to other mycobacteria",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A310","A31","Pulmonary mycobacterial infection",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A311","A31","Cutaneous mycobacterial infection",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A318","A31","Other mycobacterial infections",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A319","A31","Mycobacterial infection, unspecified",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A32","A32","Listeriosis",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A320","A32","Cutaneous listeriosis",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A321","A32","Listerial meningitis and meningoencephalitis",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A327","A32","Listerial sepsis",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A328","A32","Other forms of listeriosis",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A329","A32","Listeriosis, unspecified",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A33","A33","Tetanus neonatorum",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A34","A34","Obstetrical tetanus",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A35","A35","Other tetanus",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A36","A36","Diphtheria",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A360","A36","Pharyngeal diphtheria",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A361","A36","Nasopharyngeal diphtheria",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A362","A36","Laryngeal diphtheria",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A363","A36","Cutaneous diphtheria",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A368","A36","Other diphtheria",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A369","A36","Diphtheria, unspecified",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A37","A37","Whooping cough",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A370","A37","Whooping cough due to Bordetella pertussis",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A371","A37","Whooping cough due to Bordetella parapertussis",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A378","A37","Whooping cough due to other Bordetella species",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A379","A37","Whooping cough, unspecified",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A38","A38","Scarlet fever",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A39","A39","Meningococcal infection",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A390","A39","Meningococcal meningitis",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A391","A39","Waterhouse-Friderichsen syndrome",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A392","A39","Acute meningococcaemia",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A393","A39","Chronic meningococcaemia",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A394","A39","Meningococcaemia, unspecified",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A395","A39","Meningococcal heart disease",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A398","A39","Other meningococcal infections",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A399","A39","Meningococcal infection, unspecified",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A40","A40","Streptococcal sepsis",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A400","A40","Sepsis due to streptococcus, group A",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A401","A40","Sepsis due to streptococcus, group B",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A402","A40","Sepsis due to streptococcus, group D",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A403","A40","Sepsis due to Streptococcus pneumoniae",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A408","A40","Other streptococcal sepsis",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A409","A40","Streptococcal sepsis, unspecified",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A41","A41","Other sepsis",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A410","A41","Sepsis due to Staphylococcus aureus",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A411","A41","Sepsis due to other specified staphylococcus",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A412","A41","Sepsis due to unspecified staphylococcus",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A413","A41","Sepsis due to Haemophilus influenzae",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A414","A41","Sepsis due to anaerobes",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A415","A41","Sepsis due to other Gram-negative organisms",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A418","A41","Other specified sepsis",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A419","A41","Sepsis, unspecified",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A42","A42","Actinomycosis",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A420","A42","Pulmonary actinomycosis",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A421","A42","Abdominal actinomycosis",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A422","A42","Cervicofacial actinomycosis",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A427","A42","Actinomycotic sepsis",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A428","A42","Other forms of actinomycosis",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A429","A42","Actinomycosis, unspecified",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A43","A43","Nocardiosis",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A430","A43","Pulmonary nocardiosis",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A431","A43","Cutaneous nocardiosis",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A438","A43","Other forms of nocardiosis",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A439","A43","Nocardiosis, unspecified",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A44","A44","Bartonellosis",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A440","A44","Systemic bartonellosis",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A441","A44","Cutaneous and mucocutaneous bartonellosis",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A448","A44","Other forms of bartonellosis",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A449","A44","Bartonellosis, unspecified",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A46","A46","Erysipelas",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A48","A48","Other bacterial diseases, not elsewhere classified",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A480","A48","Gas gangrene",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A481","A48","Legionnaires disease",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A482","A48","Nonpneumonic Legionnaires disease [Pontiac fever]",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A483","A48","Toxic shock syndrome",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A484","A48","Brazilian purpuric fever",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A488","A48","Other specified bacterial diseases",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A49","A49","Bacterial infection of unspecified site",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A490","A49","Staphylococcal infection, unspecified site",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A491","A49","Streptococcal infection, unspecified site",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A492","A49","Haemophilus influenzae infection, unspecified site",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A493","A49","Mycoplasma infection, unspecified site",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A498","A49","Other bacterial infections of unspecified site",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A499","A49","Bacterial infection, unspecified",1,"Certain infectious and parasitic diseases","Other bacterial diseases"
"A50","A50","Congenital syphilis",1,"Certain infectious and parasitic diseases","Infections with a predominantly sexual mode of transmission"
"A500","A50","Early congenital syphilis, symptomatic",1,"Certain infectious and parasitic diseases","Infections with a predominantly sexual mode of transmission"
"A501","A50","Early congenital syphilis, latent",1,"Certain infectious and parasitic diseases","Infections with a predominantly sexual mode of transmission"
"A502","A50","Early congenital syphilis, unspecified",1,"Certain infectious and parasitic diseases","Infections with a predominantly sexual mode of transmission"
"A503","A50","Late congenital syphilitic oculopathy",1,"Certain infectious and parasitic diseases","Infections with a predominantly sexual mode of transmission"
"A504","A50","Late congenital neurosyphilis [juvenile neurosyphilis]",1,"Certain infectious and parasitic diseases","Infections with a predominantly sexual mode of transmission"
